Entry	Gene names	Transmembrane
A6NKB5	PCNX2 KIAA0435 PCNXL2	TRANSMEM 34 54 Helical. {ECO:0000255}.; TRANSMEM 57 77 Helical. {ECO:0000255}.; TRANSMEM 844 864 Helical. {ECO:0000255}.; TRANSMEM 868 888 Helical. {ECO:0000255}.; TRANSMEM 901 921 Helical. {ECO:0000255}.; TRANSMEM 952 972 Helical. {ECO:0000255}.; TRANSMEM 983 1003 Helical. {ECO:0000255}.; TRANSMEM 1029 1049 Helical. {ECO:0000255}.; TRANSMEM 1099 1119 Helical. {ECO:0000255}.; TRANSMEM 1124 1144 Helical. {ECO:0000255}.; TRANSMEM 1193 1213 Helical. {ECO:0000255}.; TRANSMEM 1237 1257 Helical. {ECO:0000255}.; TRANSMEM 1265 1285 Helical. {ECO:0000255}.; TRANSMEM 1302 1322 Helical. {ECO:0000255}.; TRANSMEM 1324 1344 Helical. {ECO:0000255}.
Q9NZQ7	CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1	TRANSMEM 239 259 Helical. {ECO:0000255}.
Q14432	PDE3A	TRANSMEM 61 81 Helical. {ECO:0000255}.; TRANSMEM 130 150 Helical. {ECO:0000255}.; TRANSMEM 160 180 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 210 230 Helical. {ECO:0000255}.; TRANSMEM 232 252 Helical. {ECO:0000255}.
Q13113	PDZK1IP1 MAP17	TRANSMEM 30 50 Helical. {ECO:0000255}.
Q9NZ42	PSENEN PEN2 MDS033	TRANSMEM 58 78 Helical. {ECO:0000269|PubMed:26280335}.
P07202	TPO	TRANSMEM 847 871 Helical. {ECO:0000255}.
Q7Z412	PEX26	TRANSMEM 247 267 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
P56589	PEX3	TRANSMEM 16 36 Helical. {ECO:0000255}.; TRANSMEM 117 140 Helical. {ECO:0000255}.
P43088	PTGFR	TRANSMEM 32 54 Helical; Name=1. {ECO:0000255}.; TRANSMEM 70 90 Helical; Name=2. {ECO:0000255}.; TRANSMEM 110 131 Helical; Name=3. {ECO:0000255}.; TRANSMEM 153 175 Helical; Name=4. {ECO:0000255}.; TRANSMEM 199 224 Helical; Name=5. {ECO:0000255}.; TRANSMEM 251 267 Helical; Name=6. {ECO:0000255}.; TRANSMEM 286 307 Helical; Name=7. {ECO:0000255}.
Q96FM1	PGAP3 CAB2 PERLD1 UNQ546/PRO1100	TRANSMEM 99 119 Helical. {ECO:0000255}.; TRANSMEM 136 156 Helical. {ECO:0000255}.; TRANSMEM 170 190 Helical. {ECO:0000255}.; TRANSMEM 194 214 Helical. {ECO:0000255}.; TRANSMEM 225 245 Helical. {ECO:0000255}.; TRANSMEM 258 278 Helical. {ECO:0000255}.; TRANSMEM 280 299 Helical. {ECO:0000255}.
Q96QU1	PCDH15 USH1F	TRANSMEM 1377 1397 Helical. {ECO:0000255}.
O14917	PCDH17 PCDH68 PCH68	TRANSMEM 708 728 Helical. {ECO:0000255}.
Q8TAB3	PCDH19 KIAA1313	TRANSMEM 679 699 Helical. {ECO:0000255}.
Q8N6Y1	PCDH20 PCDH13	TRANSMEM 891 911 Helical. {ECO:0000255}.
Q6V1P9	DCHS2 CDH27 CDHJ PCDH23 PCDHJ	TRANSMEM 2541 2561 Helical. {ECO:0000255}.
Q9UN74	PCDHA4	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9Y5H7	PCDHA5 CNRS6	TRANSMEM 697 717 Helical. {ECO:0000255}.
Q9UN73	PCDHA6 CNRS2	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9UN72	PCDHA7 CNRS4	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9Y5H6	PCDHA8	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9Y5H5	PCDHA9 KIAA0345	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9Y5I2	PCDHA10 CNRS8	TRANSMEM 696 716 Helical. {ECO:0000255}.
Q9Y5I0	PCDHA13 CNRS5	TRANSMEM 698 718 Helical. {ECO:0000255}.
Q9Y5F3	PCDHB1	TRANSMEM 692 712 Helical. {ECO:0000255}.
Q9Y5E6	PCDHB3	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q9Y5E5	PCDHB4	TRANSMEM 690 710 Helical. {ECO:0000255}.
Q9Y5E4	PCDHB5	TRANSMEM 690 710 Helical. {ECO:0000255}.
Q9Y5E2	PCDHB7	TRANSMEM 689 709 Helical. {ECO:0000255}.
Q9Y5E1	PCDHB9 PCDH3H	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q9Y5F2	PCDHB11	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q9Y5F1	PCDHB12	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q9Y5F0	PCDHB13 UNQ332/PRO531	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q16549	PCSK7 LPC PC7 PC8 SPC7	TRANSMEM 668 688 Helical. {ECO:0000255}.
Q9H6A9	PCNX3 PCNXL3	TRANSMEM 33 53 Helical. {ECO:0000255}.; TRANSMEM 54 74 Helical. {ECO:0000255}.; TRANSMEM 790 812 Helical. {ECO:0000255}.; TRANSMEM 819 836 Helical. {ECO:0000255}.; TRANSMEM 852 872 Helical. {ECO:0000255}.; TRANSMEM 880 900 Helical. {ECO:0000255}.; TRANSMEM 903 923 Helical. {ECO:0000255}.; TRANSMEM 946 968 Helical. {ECO:0000255}.; TRANSMEM 980 1000 Helical. {ECO:0000255}.; TRANSMEM 1053 1073 Helical. {ECO:0000255}.; TRANSMEM 1078 1098 Helical. {ECO:0000255}.; TRANSMEM 1244 1264 Helical. {ECO:0000255}.; TRANSMEM 1280 1300 Helical. {ECO:0000255}.
Q63HM2	PCNX4 C14orf135 FBP2 PCNXL4	TRANSMEM 45 65 Helical. {ECO:0000255}.; TRANSMEM 73 93 Helical. {ECO:0000255}.; TRANSMEM 140 160 Helical. {ECO:0000255}.; TRANSMEM 173 193 Helical. {ECO:0000255}.; TRANSMEM 208 228 Helical. {ECO:0000255}.; TRANSMEM 244 264 Helical. {ECO:0000255}.; TRANSMEM 307 327 Helical. {ECO:0000255}.; TRANSMEM 357 377 Helical. {ECO:0000255}.; TRANSMEM 388 405 Helical. {ECO:0000255}.; TRANSMEM 448 468 Helical. {ECO:0000255}.; TRANSMEM 494 514 Helical. {ECO:0000255}.; TRANSMEM 534 552 Helical. {ECO:0000255}.; TRANSMEM 565 585 Helical. {ECO:0000255}.; TRANSMEM 607 629 Helical. {ECO:0000255}.; TRANSMEM 634 654 Helical. {ECO:0000255}.
P34995	PTGER1	TRANSMEM 36 62 Helical; Name=1. {ECO:0000255}.; TRANSMEM 73 96 Helical; Name=2. {ECO:0000255}.; TRANSMEM 112 133 Helical; Name=3. {ECO:0000255}.; TRANSMEM 156 177 Helical; Name=4. {ECO:0000255}.; TRANSMEM 202 227 Helical; Name=5. {ECO:0000255}.; TRANSMEM 295 321 Helical; Name=6. {ECO:0000255}.; TRANSMEM 333 354 Helical; Name=7. {ECO:0000255}.
P43116	PTGER2	TRANSMEM 24 47 Helical; Name=1. {ECO:0000255}.; TRANSMEM 66 91 Helical; Name=2. {ECO:0000255}.; TRANSMEM 112 132 Helical; Name=3. {ECO:0000255}.; TRANSMEM 152 176 Helical; Name=4. {ECO:0000255}.; TRANSMEM 199 223 Helical; Name=5. {ECO:0000255}.; TRANSMEM 263 286 Helical; Name=6. {ECO:0000255}.; TRANSMEM 300 323 Helical; Name=7. {ECO:0000255}.
Q5VY43	PEAR1 MEGF12	TRANSMEM 756 776 Helical. {ECO:0000255}.
O00623	PEX12 PAF3	TRANSMEM 159 179 Helical. {ECO:0000255}.; TRANSMEM 240 260 Helical. {ECO:0000255}.
Q75T13	PGAP1 UNQ3024/PRO9822	TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 642 662 Helical. {ECO:0000255}.; TRANSMEM 669 689 Helical. {ECO:0000255}.; TRANSMEM 734 754 Helical. {ECO:0000255}.; TRANSMEM 818 838 Helical. {ECO:0000255}.; TRANSMEM 854 874 Helical. {ECO:0000255}.; TRANSMEM 894 914 Helical. {ECO:0000255}.
Q9UHJ9	PGAP2 FRAG1	TRANSMEM 24 44 Helical. {ECO:0000255}.; TRANSMEM 115 135 Helical. {ECO:0000255}.; TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 186 206 Helical. {ECO:0000255}.; TRANSMEM 210 230 Helical. {ECO:0000255}.
Q9H7Z7	PTGES2 C9orf15 PGES2	TRANSMEM 58 74 Helical. {ECO:0000255}.
P09619	PDGFRB PDGFR PDGFR1	TRANSMEM 533 553 Helical. {ECO:0000255}.
P41231	P2RY2 P2RU1	TRANSMEM 33 59 Helical; Name=1. {ECO:0000255}.; TRANSMEM 71 93 Helical; Name=2. {ECO:0000255}.; TRANSMEM 111 129 Helical; Name=3. {ECO:0000255}.; TRANSMEM 153 172 Helical; Name=4. {ECO:0000255}.; TRANSMEM 195 220 Helical; Name=5. {ECO:0000255}.; TRANSMEM 247 269 Helical; Name=6. {ECO:0000255}.; TRANSMEM 288 309 Helical; Name=7. {ECO:0000255}.
P51582	P2RY4 NRU	TRANSMEM 35 61 Helical; Name=1. {ECO:0000255}.; TRANSMEM 73 95 Helical; Name=2. {ECO:0000255}.; TRANSMEM 113 131 Helical; Name=3. {ECO:0000255}.; TRANSMEM 155 174 Helical; Name=4. {ECO:0000255}.; TRANSMEM 197 222 Helical; Name=5. {ECO:0000255}.; TRANSMEM 247 269 Helical; Name=6. {ECO:0000255}.; TRANSMEM 288 309 Helical; Name=7. {ECO:0000255}.
O00398	P2RY10	TRANSMEM 40 60 Helical; Name=1. {ECO:0000255}.; TRANSMEM 69 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 104 124 Helical; Name=3. {ECO:0000255}.; TRANSMEM 150 170 Helical; Name=4. {ECO:0000255}.; TRANSMEM 194 214 Helical; Name=5. {ECO:0000255}.; TRANSMEM 245 265 Helical; Name=6. {ECO:0000255}.; TRANSMEM 289 309 Helical; Name=7. {ECO:0000255}.
Q96G91	P2RY11	TRANSMEM 30 50 Helical; Name=1. {ECO:0000255}.; TRANSMEM 65 85 Helical; Name=2. {ECO:0000255}.; TRANSMEM 117 137 Helical; Name=3. {ECO:0000255}.; TRANSMEM 147 167 Helical; Name=4. {ECO:0000255}.; TRANSMEM 207 227 Helical; Name=5. {ECO:0000255}.; TRANSMEM 246 266 Helical; Name=6. {ECO:0000255}.; TRANSMEM 309 329 Helical; Name=7. {ECO:0000255}.
Q9H244	P2RY12 HORK3	TRANSMEM 28 50 Helical; Name=1.; TRANSMEM 62 82 Helical; Name=2.; TRANSMEM 98 118 Helical; Name=3.; TRANSMEM 143 162 Helical; Name=4.; TRANSMEM 186 207 Helical; Name=5.; TRANSMEM 234 259 Helical; Name=6.; TRANSMEM 279 298 Helical; Name=7.
Q15391	P2RY14 GPR105 KIAA0001	TRANSMEM 30 50 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 76 Helical; Name=2. {ECO:0000255}.; TRANSMEM 97 117 Helical; Name=3. {ECO:0000255}.; TRANSMEM 140 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 189 209 Helical; Name=5. {ECO:0000255}.; TRANSMEM 235 255 Helical; Name=6. {ECO:0000255}.; TRANSMEM 279 299 Helical; Name=7. {ECO:0000255}.
Q96FE7	PIK3IP1 HGFL	TRANSMEM 169 189 Helical. {ECO:0000255}.
Q9NXG6	P4HTM PH4	TRANSMEM 61 81 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q96RD6	PANX2	TRANSMEM 48 70 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 124 146 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 227 249 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 293 315 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.
Q96QZ0	PANX3	TRANSMEM 40 60 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 114 134 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 216 236 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.; TRANSMEM 268 288 Helical. {ECO:0000255|PROSITE-ProRule:PRU00351}.
Q6UW60	PCSK4 PC4 UNQ2757/PRO6496	TRANSMEM 709 729 Helical. {ECO:0000255}.
Q92824	PCSK5 PC5 PC6	TRANSMEM 1744 1764 Helical. {ECO:0000255}.
Q13258	PTGDR	TRANSMEM 22 42 Helical; Name=1. {ECO:0000255}.; TRANSMEM 60 80 Helical; Name=2. {ECO:0000255}.; TRANSMEM 108 128 Helical; Name=3. {ECO:0000255}.; TRANSMEM 151 171 Helical; Name=4. {ECO:0000255}.; TRANSMEM 196 216 Helical; Name=5. {ECO:0000255}.; TRANSMEM 263 283 Helical; Name=6. {ECO:0000255}.; TRANSMEM 311 331 Helical; Name=7. {ECO:0000255}.
Q86YL7	PDPN GP36 PSEC0003 PSEC0025	TRANSMEM 132 152 Helical. {ECO:0000255}.
P43115	PTGER3	TRANSMEM 54 78 Helical; Name=1. {ECO:0000255}.; TRANSMEM 92 112 Helical; Name=2. {ECO:0000255}.; TRANSMEM 132 153 Helical; Name=3. {ECO:0000255}.; TRANSMEM 176 197 Helical; Name=4. {ECO:0000255}.; TRANSMEM 228 253 Helical; Name=5. {ECO:0000255}.; TRANSMEM 284 307 Helical; Name=6. {ECO:0000255}.; TRANSMEM 328 349 Helical; Name=7. {ECO:0000255}.
Q9UBM1	PEMT PEMPT PNMT	TRANSMEM 46 66 Helical. {ECO:0000255|HAMAP-Rule:MF_03216}.; TRANSMEM 94 114 Helical. {ECO:0000255|HAMAP-Rule:MF_03216}.; TRANSMEM 158 178 Helical. {ECO:0000255|HAMAP-Rule:MF_03216}.
Q96FX8	PERP KCP1 KRTCAP1 PIGPC1 THW	TRANSMEM 12 32 Helical. {ECO:0000255}.; TRANSMEM 79 99 Helical. {ECO:0000255}.; TRANSMEM 110 130 Helical. {ECO:0000255}.; TRANSMEM 151 171 Helical. {ECO:0000255}.
O15173	PGRMC2 DG6 PMBP	TRANSMEM 42 66 Helical. {ECO:0000255}.
Q9NWQ8	PAG1 CBP PAG	TRANSMEM 17 37 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.
P37287	PIGA	TRANSMEM 422 442 Helical. {ECO:0000255}.
Q92521	PIGB	TRANSMEM 63 83 Helical. {ECO:0000255}.; TRANSMEM 136 156 Helical. {ECO:0000255}.; TRANSMEM 192 212 Helical. {ECO:0000255}.; TRANSMEM 224 244 Helical. {ECO:0000255}.; TRANSMEM 255 275 Helical. {ECO:0000255}.; TRANSMEM 315 335 Helical. {ECO:0000255}.; TRANSMEM 340 360 Helical. {ECO:0000255}.; TRANSMEM 362 382 Helical. {ECO:0000255}.; TRANSMEM 387 407 Helical. {ECO:0000255}.
Q92535	PIGC GPI2	TRANSMEM 51 71 Helical. {ECO:0000255}.; TRANSMEM 80 100 Helical. {ECO:0000255}.; TRANSMEM 117 137 Helical. {ECO:0000255}.; TRANSMEM 153 173 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 196 216 Helical. {ECO:0000255}.; TRANSMEM 227 244 Helical. {ECO:0000255}.; TRANSMEM 250 270 Helical. {ECO:0000255}.
Q07326	PIGF	TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 42 62 Helical. {ECO:0000255}.; TRANSMEM 86 106 Helical. {ECO:0000255}.; TRANSMEM 113 133 Helical. {ECO:0000255}.; TRANSMEM 155 175 Helical. {ECO:0000255}.; TRANSMEM 189 209 Helical. {ECO:0000255}.
Q9Y2B2	PIGL	TRANSMEM 2 22 Helical. {ECO:0000255}.
Q9H3S5	PIGM	TRANSMEM 18 38 Helical. {ECO:0000255}.; TRANSMEM 80 100 Helical. {ECO:0000255}.; TRANSMEM 139 161 Helical. {ECO:0000255}.; TRANSMEM 170 190 Helical. {ECO:0000255}.; TRANSMEM 226 246 Helical. {ECO:0000255}.; TRANSMEM 288 308 Helical. {ECO:0000255}.; TRANSMEM 315 337 Helical. {ECO:0000255}.; TRANSMEM 339 350 Helical. {ECO:0000255}.; TRANSMEM 358 378 Helical. {ECO:0000255}.; TRANSMEM 385 405 Helical. {ECO:0000255}.
Q9BRB3	PIGQ GPI1	TRANSMEM 278 298 Helical. {ECO:0000255}.; TRANSMEM 349 371 Helical. {ECO:0000255}.; TRANSMEM 378 400 Helical. {ECO:0000255}.; TRANSMEM 446 468 Helical. {ECO:0000255}.; TRANSMEM 475 497 Helical. {ECO:0000255}.
P01833	PIGR	TRANSMEM 639 661 Helical. {ECO:0000255}.
Q969N2	PIGT CGI-06 PSEC0163 UNQ716/PRO1379	TRANSMEM 528 548 Helical. {ECO:0000255}.
Q3MUY2	PIGY	TRANSMEM 4 26 Helical. {ECO:0000255}.; TRANSMEM 45 65 Helical. {ECO:0000255}.
Q86VD9	PIGZ SMP3	TRANSMEM 131 151 Helical. {ECO:0000255}.; TRANSMEM 156 173 Helical. {ECO:0000255}.; TRANSMEM 180 200 Helical. {ECO:0000255}.; TRANSMEM 216 236 Helical. {ECO:0000255}.; TRANSMEM 258 278 Helical. {ECO:0000255}.; TRANSMEM 369 389 Helical. {ECO:0000255}.; TRANSMEM 391 411 Helical. {ECO:0000255}.; TRANSMEM 416 436 Helical. {ECO:0000255}.
Q9BZA8	PCDH11Y PCDH11 PCDH22 PCDHY	TRANSMEM 845 865 Helical. {ECO:0000255}.
Q9BQ51	PDCD1LG2 B7DC CD273 PDCD1L2 PDL2	TRANSMEM 221 241 Helical. {ECO:0000255}.
Q9Y5Y4	PTGDR2 CRTH2 DL1R GPR44	TRANSMEM 34 56 Helical; Name=1. {ECO:0000255}.; TRANSMEM 68 89 Helical; Name=2. {ECO:0000255}.; TRANSMEM 107 127 Helical; Name=3. {ECO:0000255}.; TRANSMEM 147 168 Helical; Name=4. {ECO:0000255}.; TRANSMEM 211 231 Helical; Name=5. {ECO:0000255}.; TRANSMEM 248 269 Helical; Name=6. {ECO:0000255}.; TRANSMEM 289 308 Helical; Name=7. {ECO:0000255}.
Q15116	PDCD1 PD1	TRANSMEM 171 191 Helical. {ECO:0000255}.
Q13370	PDE3B	TRANSMEM 88 108 Helical. {ECO:0000255}.; TRANSMEM 117 137 Helical. {ECO:0000255}.; TRANSMEM 152 172 Helical. {ECO:0000255}.; TRANSMEM 192 212 Helical. {ECO:0000255}.; TRANSMEM 220 240 Helical. {ECO:0000255}.; TRANSMEM 247 267 Helical. {ECO:0000255}.
Q9NZ53	PODXL2 UNQ1861/PRO3742	TRANSMEM 501 521 Helical. {ECO:0000255}.
Q8NEN9	PDZD8 PDZK8	TRANSMEM 2 24 Helical. {ECO:0000255}.
P35408	PTGER4 PTGER2	TRANSMEM 20 43 Helical; Name=1. {ECO:0000255}.; TRANSMEM 56 79 Helical; Name=2. {ECO:0000255}.; TRANSMEM 97 115 Helical; Name=3. {ECO:0000255}.; TRANSMEM 136 160 Helical; Name=4. {ECO:0000255}.; TRANSMEM 185 211 Helical; Name=5. {ECO:0000255}.; TRANSMEM 268 295 Helical; Name=6. {ECO:0000255}.; TRANSMEM 313 332 Helical; Name=7. {ECO:0000255}.
Q9H720	CWH43 PGAP2IP	TRANSMEM 13 33 Helical. {ECO:0000255}.; TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 93 113 Helical. {ECO:0000255}.; TRANSMEM 123 143 Helical. {ECO:0000255}.; TRANSMEM 196 216 Helical. {ECO:0000255}.; TRANSMEM 237 257 Helical. {ECO:0000255}.; TRANSMEM 273 293 Helical. {ECO:0000255}.; TRANSMEM 316 336 Helical. {ECO:0000255}.; TRANSMEM 349 369 Helical. {ECO:0000255}.; TRANSMEM 390 410 Helical. {ECO:0000255}.
Q6TCH7	PAQR3	TRANSMEM 74 96 Helical. {ECO:0000255}.; TRANSMEM 106 128 Helical. {ECO:0000255}.; TRANSMEM 141 163 Helical. {ECO:0000255}.; TRANSMEM 173 195 Helical. {ECO:0000255}.; TRANSMEM 202 224 Helical. {ECO:0000255}.; TRANSMEM 239 256 Helical. {ECO:0000255}.; TRANSMEM 276 298 Helical. {ECO:0000255}.
Q8TEZ7	PAQR8 C6orf33 LMPB1 MPRB	TRANSMEM 76 96 Helical; Name=1. {ECO:0000255}.; TRANSMEM 112 132 Helical; Name=2. {ECO:0000255}.; TRANSMEM 175 195 Helical; Name=3. {ECO:0000255}.; TRANSMEM 214 234 Helical; Name=4. {ECO:0000255}.; TRANSMEM 244 264 Helical; Name=5. {ECO:0000255}.; TRANSMEM 284 304 Helical; Name=6. {ECO:0000255}.; TRANSMEM 320 340 Helical; Name=7. {ECO:0000255}.
Q6ZVX9	PAQR9	TRANSMEM 87 107 Helical. {ECO:0000255}.; TRANSMEM 117 137 Helical. {ECO:0000255}.; TRANSMEM 163 183 Helical. {ECO:0000255}.; TRANSMEM 206 226 Helical. {ECO:0000255}.; TRANSMEM 244 264 Helical. {ECO:0000255}.; TRANSMEM 302 322 Helical. {ECO:0000255}.; TRANSMEM 344 364 Helical. {ECO:0000255}.
Q8IY49	MMD2 PAQR10	TRANSMEM 39 59 Helical. {ECO:0000255}.; TRANSMEM 66 86 Helical. {ECO:0000255}.; TRANSMEM 103 123 Helical. {ECO:0000255}.; TRANSMEM 133 153 Helical. {ECO:0000255}.; TRANSMEM 183 203 Helical. {ECO:0000255}.; TRANSMEM 206 226 Helical. {ECO:0000255}.; TRANSMEM 234 254 Helical. {ECO:0000255}.
Q8N5Y8	PARP16 ARTD15 C15orf30	TRANSMEM 288 308 Helical. {ECO:0000255}.
Q8NF37	LPCAT1 AYTL2 PFAAP3	TRANSMEM 58 78 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.
Q9Y5E8	PCDHB15	TRANSMEM 691 711 Helical. {ECO:0000255}.
Q96TA0	PCDHB18P PCDHB18	TRANSMEM 638 658 Helical. {ECO:0000255}.
Q9H158	PCDHAC1	TRANSMEM 684 704 Helical. {ECO:0000255}.
Q9Y5I4	PCDHAC2	TRANSMEM 709 729 Helical. {ECO:0000255}.
Q9Y5H1	PCDHGA2	TRANSMEM 693 713 Helical. {ECO:0000255}.
Q9Y5H0	PCDHGA3	TRANSMEM 693 713 Helical. {ECO:0000255}.
Q9Y5G8	PCDHGA5	TRANSMEM 693 713 Helical. {ECO:0000255}.
Q9Y5G7	PCDHGA6	TRANSMEM 693 713 Helical. {ECO:0000255}.
Q9Y5G5	PCDHGA8 KIAA0327	TRANSMEM 693 713 Helical. {ECO:0000255}.
O60330	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707	TRANSMEM 693 713 Helical. {ECO:0000255}.
Q9Y5G2	PCDHGB2	TRANSMEM 692 712 Helical. {ECO:0000255}.
Q9Y5G1	PCDHGB3	TRANSMEM 692 712 Helical. {ECO:0000255}.
Q9UN71	PCDHGB4 CDH20 FIB2	TRANSMEM 690 710 Helical. {ECO:0000255}.
Q9Y5F9	PCDHGB6	TRANSMEM 692 712 Helical. {ECO:0000255}.
Q9UN70	PCDHGC3 PCDH2	TRANSMEM 694 714 Helical. {ECO:0000255}.
Q9Y5F6	PCDHGC5	TRANSMEM 694 714 Helical. {ECO:0000255}.
Q08174	PCDH1	TRANSMEM 853 873 Helical. {ECO:0000255}.
P16284	PECAM1	TRANSMEM 602 620 Helical. {ECO:0000255}.
Q92968	PEX13	TRANSMEM 227 251 Helical. {ECO:0000255}.
Q9Y5Y5	PEX16	TRANSMEM 85 105 Helical. {ECO:0000255}.; TRANSMEM 111 131 Helical. {ECO:0000255}.
P28328	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72	TRANSMEM 140 159 Helical. {ECO:0000255}.; TRANSMEM 195 213 Helical. {ECO:0000255}.
Q8NC56	LEMD2	TRANSMEM 213 233 Helical. {ECO:0000255}.; TRANSMEM 377 397 Helical. {ECO:0000255}.
Q969X1	TMBIM1 LFG3 RECS1 PP1201 PSEC0158	TRANSMEM 110 130 Helical. {ECO:0000255}.; TRANSMEM 134 154 Helical. {ECO:0000255}.; TRANSMEM 165 185 Helical. {ECO:0000255}.; TRANSMEM 190 210 Helical. {ECO:0000255}.; TRANSMEM 221 241 Helical. {ECO:0000255}.; TRANSMEM 246 266 Helical. {ECO:0000255}.; TRANSMEM 286 306 Helical. {ECO:0000255}.
Q7Z7J7	LHFPL4	TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 97 117 Helical. {ECO:0000255}.; TRANSMEM 127 147 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.
P0C6S8	LINGO3 LERN2 LRRN6B	TRANSMEM 532 552 Helical. {ECO:0000255}.
Q6UY18	LINGO4 LRRN6D UNQ9248/PRO34002	TRANSMEM 534 554 Helical. {ECO:0000255}.
Q6PI73	LILRA6 ILT8	TRANSMEM 448 468 Helical. {ECO:0000255}.
Q8NHL6	LILRB1 ILT2 LIR1 MIR7	TRANSMEM 462 482 Helical. {ECO:0000255}.
O75023	LILRB5 LIR8	TRANSMEM 459 479 Helical. {ECO:0000255}.
Q92633	LPAR1 EDG2 LPA1	TRANSMEM 51 75 Helical; Name=1.; TRANSMEM 84 107 Helical; Name=2.; TRANSMEM 122 144 Helical; Name=3.; TRANSMEM 164 184 Helical; Name=4.; TRANSMEM 205 225 Helical; Name=5.; TRANSMEM 256 280 Helical; Name=6.; TRANSMEM 295 315 Helical; Name=7.
Q9HBW0	LPAR2 EDG4 LPA2	TRANSMEM 34 54 Helical; Name=1. {ECO:0000255}.; TRANSMEM 70 90 Helical; Name=2. {ECO:0000255}.; TRANSMEM 104 126 Helical; Name=3. {ECO:0000255}.; TRANSMEM 147 167 Helical; Name=4. {ECO:0000255}.; TRANSMEM 189 209 Helical; Name=5. {ECO:0000255}.; TRANSMEM 243 263 Helical; Name=6. {ECO:0000255}.; TRANSMEM 280 297 Helical; Name=7. {ECO:0000255}.
Q9UBY5	LPAR3 EDG7 LPA3	TRANSMEM 32 52 Helical; Name=1. {ECO:0000255}.; TRANSMEM 68 88 Helical; Name=2. {ECO:0000255}.; TRANSMEM 102 124 Helical; Name=3. {ECO:0000255}.; TRANSMEM 147 167 Helical; Name=4. {ECO:0000255}.; TRANSMEM 187 207 Helical; Name=5. {ECO:0000255}.; TRANSMEM 241 261 Helical; Name=6. {ECO:0000255}.; TRANSMEM 277 297 Helical; Name=7. {ECO:0000255}.
P09848	LCT LPH	TRANSMEM 1883 1901 Helical. {ECO:0000255}.
Q8N7C0	LRRC52	TRANSMEM 245 265 Helical. {ECO:0000255}.
Q6ZSA7	LRRC55	TRANSMEM 272 292 Helical. {ECO:0000255}.
Q9ULH4	LRFN2 KIAA1246 SALM1	TRANSMEM 535 555 Helical. {ECO:0000255}.
Q96NI6	LRFN5 C14orf146 SALM5	TRANSMEM 530 550 Helical. {ECO:0000255}.
Q7Z2Q7	LRRC70 UNQ1891/PRO4337	TRANSMEM 527 547 Helical. {ECO:0000255}.
Q9BY71	LRRC3 C21orf102 LRRC3A UNQ9233/PRO31982	TRANSMEM 205 225 Helical. {ECO:0000255}.
Q6UXK5	LRRN1 KIAA1497 Nbla10449 UNQ693/PRO1338	TRANSMEM 632 652 Helical. {ECO:0000255}.
O43300	LRRTM2 KIAA0416 LRRN2	TRANSMEM 423 443 Helical. {ECO:0000255}.
Q8N967	LRTM2	TRANSMEM 311 331 Helical. {ECO:0000255}.
